candidate,noise,L,TB_n,TA_n,TB_order,TB_lag,TB_leftreturn,TB_leftreturn_n,TA_part,TA_lag
follow_ellipse4_out1.25_EI0.875,847102,9.340413683555107,130,30,0.37636411217669674,34.40543836451434,0.05384615384615385,130,1.0,-18.63986792106516
follow_ellipse4_out1.125_EI0.75,847101,7.922978294926866,120,36,0.35953707366898596,34.51869834343779,0.05,120,1.0,-18.87747938092798
up3__circle__EE_core_to_out_scale_1.25__y_minus10,847101,5.48519942806025,84,59,0.3547659715366281,36.005717338239265,0.21428571428571427,84,0.8983050847457628,97.40013434612047
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847102,2.3889822022318197,66,76,0.3109871119026256,34.853553123430174,0.30303030303030304,66,0.5855263157894737,-12.706284966514431
follow_ellipse4_out1.125_EI0.875,847102,8.830104011799445,127,32,0.3878380252612053,35.12142919162579,0.023622047244094488,127,0.734375,-19.575666366936275
follow_circle_out1.25_EI0.875,847102,4.379256602724957,93,69,0.29832795478570073,33.97022581577039,0.1827956989247312,93,0.963768115942029,-19.641964114809525
follow_ellipse4_out1.125_EI0.75,847102,8.973960719992213,132,31,0.3708693863766275,34.35354443605502,0.022727272727272728,132,1.0,-18.985791258302015
follow_circle_out1.25_EI0.875,847101,3.682674316961566,83,86,0.30802421815945924,34.42197465265053,0.14457831325301204,83,0.9883720930232558,-20.018600024344778
up3__circle__EE_core_to_out_scale_1.25__y_minus10,847102,6.093841468857116,101,53,0.36743111294419384,35.961041644543,0.10891089108910891,101,0.8867924528301887,97.41793772839446
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847102,4.275790957355522,90,49,0.33674925864294136,35.34925644387113,0.1724137931034483,87,0.6224489795918366,-23.536110173910856
follow_ellipse4_out1.125_EI0.875,847101,7.538414229187747,115,39,0.3742776575354278,35.191971753316466,0.017391304347826087,115,0.8461538461538461,-20.250348905196006
follow_circle_out1.125_EI1,847101,4.891391425485845,86,51,0.3564656368330769,36.10376782417143,0.20930232558139536,86,0.6470588235294117,-4.994864487860468
follow_circle_out1.25_EI0.75,847102,4.226808274477858,95,74,0.28508769818321505,33.49034558152198,0.17894736842105263,95,1.0,-19.93212108024636
follow_circle_out1.125_EI0.875,847101,3.21250542176292,85,79,0.3424552371556105,34.967002782126656,0.08235294117647059,85,0.5506329113924051,-20.49205674896075
follow_circle_out1.125_EI0.75,847101,3.751962476526181,79,90,0.32705513704493683,34.37150248967737,0.10126582278481013,79,1.0,-20.269135673055644
follow_ellipse4_out1.25_EI0.75,847101,7.901767909290754,119,37,0.3574002189270893,34.366928063296655,0.058823529411764705,119,1.0,-18.506352382010846
follow_circle_out1.125_EI0.875,847102,3.8716098541670885,96,66,0.34484255241135403,34.835705920283544,0.08333333333333333,96,0.48484848484848486,-19.295440415321536
follow_ellipse4_out1.125_EI1,847101,5.85772922909611,94,39,0.3755288424239803,35.818102060129604,0.0851063829787234,94,0.24358974358974358,-18.415048417467915
up3__circle__EE_core_to_out_scale_1.25__radius235,847101,11.165630484925359,120,15,0.393227455330652,35.673864454900695,0.058333333333333334,120,0.6,-17.527148401217346
follow_ellipse4_out1_EI0.875,847101,6.409577530772578,107,39,0.38300336086956077,35.87645067786798,0.028037383177570093,107,0.1923076923076923,-17.568420630152104
follow_circle_out1_EI0.875,847102,4.411895159838871,89,57,0.38451066346931545,35.76201741445402,0.056179775280898875,89,0.06140350877192982,-15.76832402814398
follow_ellipse4_out1.125_EI1,847102,8.342247754037615,109,28,0.39197796334968943,35.80348437881912,0.05504587155963303,109,0.375,-15.414213094149318
follow_ellipse4_out1.25_EI0.875,847101,8.010422360429317,118,39,0.37308106753771997,34.58382628893287,0.05084745762711865,118,1.0,-18.91282879688515
up3__circle__EE_core_to_out_scale_1.25__x_plus075,847101,3.459458731096301,91,65,0.3277152465067538,35.39180846577074,0.13636363636363635,88,0.5307692307692308,-23.227844389657548
follow_ellipse4_out1.25_EI0.75,847102,9.119639704520573,130,30,0.3700637458763305,34.17927696671177,0.038461538461538464,130,1.0,-18.736637763302042
follow_circle_out1.125_EI1,847102,4.906487018583496,81,49,0.3617272209764218,35.58203540649265,0.2222222222222222,81,0.653061224489796,51.603059420180216
up3__circle__EE_core_to_out_scale_1.25__y_plus10,847101,3.4944314604717497,77,69,0.26890248781178544,30.95908206097556,0.27631578947368424,76,0.782608695652174,-31.017348411602143
follow_ellipse4_out1_EI0.875,847102,7.090664858181311,113,38,0.3966401200928872,35.696066005461034,0.017699115044247787,113,0.11842105263157894,-18.166828480146023
up3__circle__EE_core_to_out_scale_1.25__radius205,847102,7.99456029453366,107,33,0.3946265182055147,35.71328058815561,0.06542056074766354,107,0.5909090909090909,-12.930287224856329
follow_circle_out1.25_EI0.75,847101,3.5653016434316864,80,89,0.32432198763457226,34.200835257941435,0.125,80,1.0,-19.91063113772543
up3__circle__EE_core_to_out_scale_1.25__y_plus10,847102,4.261658974694489,93,64,0.32741907825515737,34.84414469511603,0.17391304347826086,92,0.6953125,-30.971228562350007
