comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
lag2_contribution,event_stop_contribution_nll,epilepsiae,18,0.0008252412080765048,0.0011905713984291908,13,0.09625244140625,0.06653594970703125,-8.454918861390548e-05,0.0012114495038986206
lag2_contribution,event_stop_contribution_nll,yuquan,16,-0.0010971203446387967,-0.0015828100804687825,3,0.021270751953125,0.002685546875,-0.0017070770263671875,-0.00021062791347500887
lag2_contribution,event_terminal_stop_nll,all,34,-0.017654120922088512,-0.02546951270555119,9,0.00904118549078703,0.0010399332968518138,-0.04178595542907715,-0.004553236812353237
lag2_contribution,event_terminal_stop_nll,epilepsiae,18,-0.0037170052528381348,-0.005362505045227805,7,0.480682373046875,0.550872802734375,-0.010620892047881969,0.0059664249420166016
lag2_contribution,event_terminal_stop_nll,yuquan,16,-0.056250154972076305,-0.08115181962745016,2,0.004180908203125,0.000579833984375,-0.07051777839660645,-0.030290961265563965
lag2_contribution,event_total_nll,all,34,0.0017063617706299938,0.002461759664450403,21,0.22948101302608848,0.2932030075462535,-0.0009311437606811523,0.0037539005279541016
lag2_contribution,event_total_nll,epilepsiae,18,0.0019290447235108532,0.0027830232562621295,12,0.237884521484375,0.32472991943359375,-0.0011927485466003418,0.003815174102782981
lag2_contribution,event_total_nll,yuquan,16,0.0010961294174193226,0.0015813804746833652,9,0.803619384765625,0.668548583984375,-0.0017112493515016869,0.004221916198730025
lag3plus_contribution,event_contact_choice_nll,all,34,0.0001843571662902832,0.0002659711695593336,19,0.6075913612730801,0.9730807684827596,-0.0006820127367973298,0.0010423660278320312
lag3plus_contribution,event_contact_choice_nll,epilepsiae,18,-0.00031095743179310187,-0.00044861674477547614,7,0.480682373046875,0.44229888916015625,-0.0016428232192993164,0.0007715225219726562
lag3plus_contribution,event_contact_choice_nll,yuquan,16,0.0008516907691952236,0.0012287300490888557,12,0.076812744140625,0.528167724609375,-0.000810384750366433,0.0017682313919067383
lag3plus_contribution,event_contact_contribution_nll,all,34,0.00019288063049316406,0.00027826792909602436,19,0.6075913612730801,1.0,-0.0004417896270751953,0.0009888410568238415
lag3plus_contribution,event_contact_contribution_nll,epilepsiae,18,-0.00026804208755493164,-0.0003867029904650252,7,0.480682373046875,0.44229888916015625,-0.0014145374298094593,0.001072227954864613
lag3plus_contribution,event_contact_contribution_nll,yuquan,16,0.0007622838020324707,0.0010997430609422298,12,0.076812744140625,0.4637451171875,-0.0005375146865844727,0.0015147924423217773
lag3plus_contribution,event_continue_nll,all,34,0.0008265543729066988,0.0011924658948175813,23,0.05761267291381955,0.010655494872480631,1.0170042515078581e-06,0.0020662704482675015
